"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alabama","17602985AL (CORDOVA WTR WKS AND GAS BD)","Residential Sales Revenue","487806","311857","357584","373742","380291","412264","250347","301393","364023","151457","194764","122784","151137","169638","124162","130305","151919","199521","140958","117028","124055"
"Alabama","17602985AL (CORDOVA WTR WKS AND GAS BD)","Residential Sales Volume","36236","35010","30381","31676","28396","18140","16875","22592","22486","10302","14234","8801","10855","10756","9254","9797","9743","11128","7108","6157","6848"
"Iowa","17602996IA (CORNING MUNICIPAL UTILITIES)","Residential Sales Revenue","546368","472030","454818","415905","551925","491875","476343","589070","495102","452959","400119","309688","381152","469495","356013","305594","309556","364382","360880","303704","324331"
"Iowa","17602996IA (CORNING MUNICIPAL UTILITIES)","Residential Sales Volume","63382","59306","59398","52848","50631","45329","48565","53230","51213","44761","47645","37998","51943","51258","42274","40106","40361","50929","51954","44310","41468"
"Louisiana","17602997LA (NEWELLTON TOWN OF)","Residential Sales Volume","40765","36949","27505","32242","29901","27193","24156","24545","24586","17475","17045","11984","13963","","14610","13084","10600","12563","10557","7026","7500"
"Louisiana","17602997LA (NEWELLTON TOWN OF)","Residential Sales Revenue","492952","381034","346336","390886","495544","479901","362340","427056","433464","215987","221585","147256","171150","","146000","130800","131768","157849","145210","99737","108434"
"New York","17602998NY (CORNING NAT GAS CORP)","Residential Sales Revenue","14036694","12135457","14104547","15232426","17001501","17898338","13649230","15226127","12409932","12397097","12015361","10669425","13108786","14591856","12146867","11873259","13767978","10228822","11352133","11404198","10737526"
"New York","17602998NY (CORNING NAT GAS CORP)","Residential Sales Volume","1658810","1405572","1531164","1431690","1419763","1200590","1018680","1018581","1030521","1012417","1060577","941288","1119953","1280146","1269088","1352552","1446757","1352834","1325301","1246121","1234587"
"Mississippi","17603000MS (CORINTH CITY OF GAS AND WATER)","Residential Sales Revenue","2987779","2448292","2839868","3154285","3625244","4101885","3537411","4102095","2996019","3527390","2987894","2202347","2801988","3665715","2640082","2114970","2168170","2999312","2730134","2102963","2896364"
"Mississippi","17603000MS (CORINTH CITY OF GAS AND WATER)","Residential Sales Volume","359336","345165","343971","320878","314721","282251","274867","300813","294190","336617","308389","247898","307906","359534","309100","261468","230504","337319","324008","260183","332661"
"Texas","17603003TX (CORPUS CHRISTI GAS DIV)","Residential Sales Revenue","17247379","13090246","16785065","15306092","18515679","17824629","19768495","19307918","15700683","18438549","5714478","3611830","5423803","8033767","15242946","12788298","13376472","15053446","15618870","13895213","13701500"
"Texas","17603003TX (CORPUS CHRISTI GAS DIV)","Residential Sales Volume","1509579","1523495","1460391","1187612","1304047","1122244","1339006","1142489","1245778","1396967","1177339","968788","1209346","1406289","1238235","987536","947040","1133242","1215416","1113370","1084868"
"Kansas","17603004KS (PALMER CITY OF)","Residential Sales Volume","5426","5107","4741","4634","4256","3625","4176","4391","4323","4453","4025","3163","4059","3993","3592","3040","3593","4502","4908","5917","4998"
"Kansas","17603004KS (PALMER CITY OF)","Residential Sales Revenue","42176","44438","42517","50234","45464","34799","50458","56207","45482","47675","58503","29900","36744","39397","30024","29174","29020","34570","43159","28573","30750"
"Georgia","17603049GA (COVINGTON NAT GAS SYS)","Residential Sales Volume","390371","355499","402888","392729","392956","357923","350301","383690","401248","454095","397779","300746","367906","462850","366718","318879","333547","388669","357347","365245","375661"
"Georgia","17603049GA (COVINGTON NAT GAS SYS)","Residential Sales Revenue","3578367","3025769","4040234","4552868","5878880","6254684","5545110","6402772","5463704","6062174","5397916","4258720","4956494","5992399","4164203","3760682","4146551","4561533","4257539","4271813","4835221"
"Oklahoma","17603050OK (COVINGTON TOWN OF)","Residential Sales Revenue","128579","102327","147990","86210","98730","117500","137518","137338","118848","128093","116698","86940","113315","137165","81558","83564","84609","95770","127981","85991","126078"
"Oklahoma","17603050OK (COVINGTON TOWN OF)","Residential Sales Volume","13836","15301","15015","14681","13033","17065","11673","11962","11923","12128","11379","9055","11973","13134","11215","9424","9094","9756","11692","10520","11877"
"Illinois","17603070IL (VILLAGE OF CROSSVILLE)","Residential Sales Volume","28908","28378","28452","26336","24063","23349","23659","24186","23009","21821","20264","17056","23409","23064","18958","16948","17695","19506","18382","17423","16772"
"Illinois","17603070IL (VILLAGE OF CROSSVILLE)","Residential Sales Revenue","241233","230330","244582","278661","325929","285746","279604","297774","249152","212661","163837","128337","175163","190563","155122","120792","139962","159678","139857","132400","149689"
"Alabama","17603112AL (CULLMAN JEFFERSON GAS)","Residential Sales Volume","532407","516654","509604","486261","479011","429458","419778","444574","425496","498622","441241","344541","453621","500321","437884","378897","358468","469329","431660","361713","479225"
"Alabama","17603112AL (CULLMAN JEFFERSON GAS)","Residential Sales Revenue","6111832","6062990","6419421","6536698","7711775","7248098","6389763","7421337","6652718","6823041","5707837","4457818","5474541","5993354","5484561","4992095","4884478","6493926","6122576","5133462","6341652"
"Montana","17603147MT (CUT BANK GAS CO)","Residential Sales Revenue","855078","754165","928575","1093630","1220487","1373928","1252650","1360653","1162406","1077596","1276538","1058322","1103555","1243947","928248","880919","1000122","953171","1030090","994666","1159557"
"Montana","17603147MT (CUT BANK GAS CO)","Residential Sales Volume","124986","134889","128361","108871","106121","103888","110909","106994","102745","101719","113199","99800","106080","109126","95464","101596","113399","109330","116880","108483","106181"
"Georgia","17603202GA (DALTON UTILITIES)","Residential Sales Revenue","2946055","2063817","2697283","2777962","3318520","3397192","2753401","3073591","2334394","2990201","2729531","1916809","2706331","3250453","2540378","1986433","2150960","2529371","2340631","1938077","2489977"
"Georgia","17603202GA (DALTON UTILITIES)","Residential Sales Volume","419050","372444","360967","341309","334627","301539","276890","282597","277438","312015","278661","210103","264141","292845","255172","209574","205019","259227","231452","210783","237302"
"Virginia","17603225VA (DANVILLE CITY OF)","Residential Sales Revenue","12016995","10623175","13426660","11483397","14526974","13298381","12213921","14559015","11162485","11790737","9831639","7927587","9974300","10922266","9426713","8225103","8154300","9618002","8795651","7657429","8395939"
"Virginia","17603225VA (DANVILLE CITY OF)","Residential Sales Volume","1117018","1050647","1135371","1032050","1023571","833703","840521","864556","902831","948412","844376","715565","871710","911972","818048","709458","682265","853946","770781","688090","794462"
"Georgia","17603282GA (DAWSON CITY OF)","Residential Sales Volume","35758","33442","30921","31266","29924","22901","22723","23331","21441","26358","24268","13954","18032","20957","16582","13284","11589","16823","16432","14828","14564"
"Georgia","17603282GA (DAWSON CITY OF)","Residential Sales Revenue","483995","388039","426765","460319","514421","429767","394883","404383","333480","385960","274911","261983","305222","344735","272022","225164","215218","264205","285766","228139","254852"
"Alabama","17603310AL (DECATUR UTIL GAS DEPT)","Residential Sales Volume","624620","661101","676563","627997","590299","490928","443766","500732","476221","562097","487887","363542","492768","530247","457811","373509","343730","479357","420260","378515","453146"
"Alabama","17603310AL (DECATUR UTIL GAS DEPT)","Residential Sales Revenue","8952748","7132727","7684570","7169866","8312582","8127656","6249656","7170572","6613025","6453859","5410958","4110180","5290531","5815976","4875385","3834259","4119520","5464769","5013326","4542268","5182694"
"Florida","17603324FL (DEFUNIAK SPRINGS CITY OF)","Residential Sales Revenue","224400","222000","226500","222900","229500","234400","294100","362819","314531","358331","258423","211480","241839","289850","237042","213686","241085","295657","269535","281343","269771"
"Florida","17603324FL (DEFUNIAK SPRINGS CITY OF)","Residential Sales Volume","25100","24500","22700","24900","19990","20327","18900","17294","17630","19073","14772","11750","14537","15923","13779","10993","9797","11753","10481","9731","9162"
"Alabama","17603332AL (DEKALB CHEROKEE COUNTIES)","Residential Sales Volume","249434","245289","255593","249028","249413","230376","216964","233578","216852","252048","227564","174139","232737","260073","222628","202437","197196","255741","232670","225477","248386"
"Alabama","17603332AL (DEKALB CHEROKEE COUNTIES)","Residential Sales Revenue","2430426","2371660","2565809","2895848","3580470","3850574","3666941","4110917","4248178","4668199","3703423","2822746","3605949","4229526","3931179","3536411","3559208","4522080","4232190","3930368","4481173"
"West Virginia","17603349WV (RAVENCLIFF FUEL AND SUPPLY)","Residential Sales Volume","33689","31237","27376","27481","26998","25245","24099","","","","","","","","","","","","","",""
"West Virginia","17603349WV (RAVENCLIFF FUEL AND SUPPLY)","Residential Sales Revenue","228608","227567","202120","240439","275626","270513","268143","","","","","","","","","","","","","",""
"Delaware","17603352DE (DELMARVA POWER AND LIGHT CO)","Residential Sales Revenue","65432209","82483061","90985166","101069199","118146087","119360637","123619672","120694514","138473446","117604009","117289793","97227877","101107764","106734013","99501736","81120116","87864123","103385389","93704095","94006697","99635512"
"Delaware","17603352DE (DELMARVA POWER AND LIGHT CO)","Residential Sales Volume","7838618","8192970","9037535","8678435","8436936","7401461","7909416","7751183","7788114","7762281","7688888","6536724","7734757","8578844","8529947","7266502","7345298","8905593","8424651","7665253","8233320"
"Louisiana","17603355LA (DELCAMBRE TOWN OF)","Residential Sales Revenue","308151","253590","278128","272122","262785","148383","169195","167288","137459","142136","120056","79888","114998","176998","114150","80254","92008","116202","123170","101590","142865"
"Louisiana","17603355LA (DELCAMBRE TOWN OF)","Residential Sales Volume","16067","16752","15715","12960","11374","5326","7340","6140","7372","9021","8075","5707","8509","12194","8132","4950","4442","8292","6979","6227","6696"
"New Mexico","17603381NM (DEMING GAS SYS)","Residential Sales Revenue","1801273","1349098","1368219","1851796","2205381","2247537","2379412","2587848","1840195","1736415","1581285","1345853","1510948","1800900","1521532","1367632","1377059","1293975","1450481","1371787","1684739"
"New Mexico","17603381NM (DEMING GAS SYS)","Residential Sales Volume","222858","227125","217732","244337","220381","214183","269678","230093","215849","243973","232768","220926","234607","203540","213891","196479","177695","179805","210542","214824","209493"
"Louisiana","17603388LA (DENHAM SPRINGS CITY OF)","Residential Sales Revenue","3002627","2639695","2636869","2883063","3762144","3842655","3992060","3890244","2460580","2518655","2526549","2496235","3003941","3574582","3159163","2697510","2248740","2457820","3015912","2832556","3001146"
"Louisiana","17603388LA (DENHAM SPRINGS CITY OF)","Residential Sales Volume","228355","258218","234206","226936","247132","245358","256635","276524","254020","345566","299500","244804","273723","322514","280434","273035","192407","273374","271804","217974","195279"
"Texas","17603434TX (DEVINE CITY OF)","Residential Sales Revenue","333719","360575","309469","296340","334996","250398","298303","284687","230092","231240","","","","","","","","","","",""
"Texas","17603434TX (DEVINE CITY OF)","Residential Sales Volume","28458","30061","25590","23244","22183","17273","19974","16277","15689","14810","","","","","","","","","","",""
"Tennessee","17603468TN (GREATER DICKSON GAS AUTHORITY)","Residential Sales Revenue","7649637","6972810","7984864","8774533","9990357","9894196","8773770","10933860","8944786","9560986","8475251","6354108","8509120","10447552","7890305","6954312","7638859","10044135","9042226","8019476","10096088"
"Tennessee","17603468TN (GREATER DICKSON GAS AUTHORITY)","Residential Sales Volume","716959","751569","740455","701733","650724","660529","634742","712605","704856","748701","721532","567909","734054","831714","749411","649336","645878","875808","803070","756933","866537"
"Illinois","17603511IL (DIVERNON VILLAGE OF)","Residential Sales Revenue","504529","356746","540739","560689","632588","563384","611593","660334","469768","472665","387013","262273","445100","522760","372322","263530","386264","490588","513909","502259","621683"
"Illinois","17603511IL (DIVERNON VILLAGE OF)","Residential Sales Volume","62939","65099","68861","63311","59433","54417","58247","64512","58382","59248","52671","43419","68634","65642","61707","56841","42607","52105","56949","53136","49868"
"Louisiana","17603569LA (DONALDSONVILLE CITY OF)","Residential Sales Volume","81881","96227","92800","79107","88551","67277","67528","69697","64799","81839","57808","52124","65946","69108","57273","51878","47230","54299","51704","45502","56423"
"Louisiana","17603569LA (DONALDSONVILLE CITY OF)","Residential Sales Revenue","902146","839504","907224","881276","1368530","1132043","1002123","1044074","842181","971107","752887","523075","704859","799972","628434","590813","612768","731775","786408","677224","968177"
"Oklahoma","17603599OK (TALOGA TOWN OF)","Residential Sales Revenue","72733","43875","68134","78375","68228","82915","74392","75066","70012","68377","61924","50996","60233","62587","52033","44492","47931","57643","87870","57869","58827"
"Oklahoma","17603599OK (TALOGA TOWN OF)","Residential Sales Volume","11259","19500","8500","8250","7408","7210","6910","6424","6387","6198","5580","6215","7217","7757","5115","4958","4667","8018","8515","5607","5700"
"Oklahoma","17603632OK (DRUMRIGHT GAS AUTHORITY)","Residential Sales Volume","85728","81622","80713","71599","69125","54856","57003","67825","64472","61667","57599","44870","59297","60624","51150","41081","39126","47682","53890","45464","47767"
"Oklahoma","17603632OK (DRUMRIGHT GAS AUTHORITY)","Residential Sales Revenue","879545","660827","695467","792672","947480","893633","926392","1072543","997459","839248","748134","554723","728069","744345","630976","529534","479991","585290","662527","552896","599088"
"Oklahoma","17603634OK (OILTON PUBLIC WORKS AUTHORITY)","Residential Sales Revenue","179190","254135","237347","325619","278763","235431","220253","208250","184500","188150","156258","127738","190489","227955","189992","150015","215519","229394","226745","221962","287148"
"Oklahoma","17603634OK (OILTON PUBLIC WORKS AUTHORITY)","Residential Sales Volume","25770","29898","27826","28567","17342","15257","16315","17500","19421","20222","16110","13275","17205","20074","17054","13564","18128","18087","26458","18149","23479"
"Georgia","17603637GA (DUBLIN CITY OF)","Residential Sales Volume","134257","112996","123331","118289","103205","90606","84588","90698","78988","98524","86884","58215","70502","80032","67976","55831","52362","63870","57746","52451","63218"
"Georgia","17603637GA (DUBLIN CITY OF)","Residential Sales Revenue","1186066","959991","1223262","1381800","1403894","1612965","1434117","1619042","1322107","1506057","1421902","1020324","1201720","1335451","1171162","994369","960565","1193273","1150120","1070771","1293859"
"Minnesota","17603654MN (DULUTH CITY OF)","Residential Sales Volume","2562518","2754508","2839234","2657270","2579782","2301716","2517100","2717843","2617107","2492421","2535355","2422667","2527758","3140623","2619950","2662352","2827409","2973670","3088485","2764579","2690952"
"Minnesota","17603654MN (DULUTH CITY OF)","Residential Sales Revenue","23978837","22399274","24790800","25597590","31773841","29347828","26911219","34513008","24902959","23458697","23886419","20887507","21257823","34898993","21388965","19911578","21964291","22766819","23287092","21477434","22560866"
"Texas","17603657TX (DUMAS CITY OF)","Residential Sales Revenue","2830941","1995433","2105510","2396152","2921644","2515580","2928675","2952678","2482412","2682561","2482540","1732238","1939994","2014290","2056513","2528473","2416601","3302312","2799576","3248875","3141845"
"Texas","17603657TX (DUMAS CITY OF)","Residential Sales Volume","321859","306694","277256","264773","264388","227873","268782","252406","247922","271495","264909","202292","266902","259503","231714","218602","235247","322232","279639","264511","282113"
"Pennsylvania","17603676PA (C E DUNMIRE GAS CO INC)","Residential Sales Volume","5117","4689","5008","4772","4783","5158","4895","5303","5183","4516","4698","4134","4075","4295","3869","2410","3503","4258","4139","3579","4111"
"Pennsylvania","17603676PA (C E DUNMIRE GAS CO INC)","Residential Sales Revenue","28143","26137","27544","26246","26306","36422","45469","48625","48052","42500","44280","33072","33072","40624","30952","19280","33640","39680","38728","34248","38504"
"Illinois","17603687IL (DUPO VILLAGE OF)","Residential Sales Revenue","947199","664645","884173","870151","960456","852405","906521","978492","891392","782771","776117","542925","684802","809347","623205","666490","599781","652771","644892","528059","894143"
"Illinois","17603687IL (DUPO VILLAGE OF)","Residential Sales Volume","75454","76541","74777","67854","71324","63114","68174","74969","68321","69791","73390","53424","71346","76484","61033","63891","55888","74661","73003","61894","64897"
"Tennessee","17603706TN (DYERSBURG GAS SYSTEM)","Residential Sales Volume","474518","454773","462811","405338","421409","338198","338315","377430","354429","390191","360860","274726","383308","420645","363759","298063","291584","397343","353193","330691","359794"
"Tennessee","17603706TN (DYERSBURG GAS SYSTEM)","Residential Sales Revenue","4435423","3558606","3579531","4170094","4983999","5095779","4779546","4933710","4166082","3647253","3222506","2334046","3116436","3663871","2982668","2236257","2247478","2917768","2585895","2239363","2585635"
"Alabama","17603742AL (EAST CENTRAL ALABAMA GAS DISTRICT)","Residential Sales Revenue","1879305","1592959","1771572","1772057","2206200","2130039","1855509","2086284","1581048","1997008","1638338","1319170","1597215","1815695","1375239","1304719","1250242","1544919","1440944","1361132","1720004"
"Alabama","17603742AL (EAST CENTRAL ALABAMA GAS DISTRICT)","Residential Sales Volume","162277","176922","164802","160537","158951","141830","125168","131587","132099","150968","118683","95281","115677","129654","109445","95828","88907","115123","103534","94815","107522"
"Colorado","17603762CO (EASTERN COLORADO UTIL CO)","Residential Sales Volume","236860","227457","232752","237920","235062","229890","294415","248075","244612","292667","","","","","","","","","","",""
"Colorado","17603762CO (EASTERN COLORADO UTIL CO)","Residential Sales Revenue","1935484","1474429","1528811","2120962","2565673","2754554","2115151","2150799","2295858","1883113","","","","","","","","","","",""
"Georgia","17603789GA (EATONTON CITY OF)","Residential Sales Volume","136974","93973","91641","86092","85484","82432","69161","72687","76394","74412","55124","43705","64037","66414","55275","48511","45721","58555","53794","49981","56522"
"Georgia","17603789GA (EATONTON CITY OF)","Residential Sales Revenue","1617690","1118389","1165745","1092457","1204251","1204709","1059260","1141815","1051446","1036871","743943","585411","844403","923546","692572","621915","609550","745660","700051","633123","742453"
"Texas","17603814TX (GOLDSMITH CITY OF)","Residential Sales Volume","6296","5357","5393","6036","5654","4364","5136","5375","5191","5587","4799","4047","4727","4929","4527","4019","3457","3306","4046","3895",""
"Texas","17603814TX (GOLDSMITH CITY OF)","Residential Sales Revenue","52868","29400","47000","52000","65944","51759","60412","67699","42000","56359","41704","29209","35446","40256","36323","23034","26386","21044","32528","30870",""
"Illinois","17603837IL (EDINBURG MUN GAS SYSTEM)","Residential Sales Revenue","232720","262678","314707","371131","457326","404129","405074","487557","372337","365666","300545","239042","286094","339017","252531","232089","224729","276817","285023","264515","433800"
"Illinois","17603837IL (EDINBURG MUN GAS SYSTEM)","Residential Sales Volume","41864","43247","42640","40078","37700","33894","33704","44570","36979","37378","33783","27470","36716","40182","32183","29918","28391","35066","35472","28701","30281"
"Georgia","17603878GA (ELBERTON UTILITIES  NAT GAS DIV)","Residential Sales Revenue","2673982","1929232","2240568","2629621","3053225","2742577","2594503","2977105","2572928","2573497","2108754","1853904","2339145","2408969","1733189","1778713","1871757","2236807","2127983","1863750","2250989"
"Georgia","17603878GA (ELBERTON UTILITIES  NAT GAS DIV)","Residential Sales Volume","255096","219297","226161","208282","190307","168040","156821","175585","165878","193641","153787","131576","172502","176043","145480","137539","135137","155807","142188","131363","157369"
"Texas","17603884TX (ELDORADO CITY OF)","Residential Sales Revenue","365561","251780","278321","265999","305440","306451","311072","328874","264614","295191","258214","242109","271867","266467","246287","216437","225676","350907","263165","242384","398391"
"Texas","17603884TX (ELDORADO CITY OF)","Residential Sales Volume","32238","32890","28546","28367","27312","22746","26217","25214","23351","26495","23137","20648","23735","28110","30238","24088","24139","35953","20400","17272","18477"
"Kentucky","17603893KY (ELIZABETHTOWN CITY OF)","Residential Sales Volume","882479","1162115","975345","908883","915836","801049","834042","558984","512614","586082","503697","478780","564110","397506","565653","480132","439658","530260","477382","442114","476674"
"Kentucky","17603893KY (ELIZABETHTOWN CITY OF)","Residential Sales Revenue","2847480","3783073","7019324","8030272","10676347","8694321","8113842","5989851","4109732","4457417","3559995","2962339","3841335","3195690","3469528","3333121","2782015","2795736","2551414","1827887","2557528"
"Tennessee","17603898TN (ELK RIVER PUBLIC UTILITY DISTRICT)","Residential Sales Volume","738340","685772","721315","716965","717631","670708","632512","679476","687414","794716","721226","564842","718525","796072","702251","586959","573007","769925","707149","663332","784860"
"Tennessee","17603898TN (ELK RIVER PUBLIC UTILITY DISTRICT)","Residential Sales Revenue","8057847","6770853","7525099","7216105","9894297","10648785","9435694","10406751","9838439","9571102","8330455","6718305","7946988","8990651","8071566","6082200","6891245","8247858","8168262","7110429","8362035"
"Maryland","17603902MD (PIVOTAL UTILITIES DBA ELKTON GAS)","Residential Sales Volume","234776","236137","289586","294355","277897","240146","274149","274254","284716","309564","283087","230627","280370","304106","287190","247523","266673","286395","283677","159837",""
"Maryland","17603902MD (PIVOTAL UTILITIES DBA ELKTON GAS)","Residential Sales Revenue","2958793","2415651","3590425","3741705","4173972","3808223","3822249","4305836","3572633","3471386","3265563","2701797","3003114","3904083","3709004","3042459","3350034","3534367","3584078","2139676",""
"Washington","17603907WA (ELLENSBURG CITY OF)","Residential Sales Revenue","1923867","1673402","1866969","1858783","2391444","2997958","2612127","2953376","3616805","3610747","3487604","3067690","3091355","3064138","2706481","2609420","3003867","2674359","3270849","3056332","3118701"
"Washington","17603907WA (ELLENSBURG CITY OF)","Residential Sales Volume","198263","185243","187669","193585","216116","245360","231413","236917","236801","218044","232429","228249","225728","210733","198344","206742","256727","224958","257651","230733","224429"
"Tennessee","17603980TN (ENGLEWOOD UTILITIES)","Residential Sales Revenue","188675","230833","260250","262481","296602","314787","248257","273272","260385","265328","175592","151273","206720","211313","194255","124740","105653","173268","202791","113866","153112"
"Tennessee","17603980TN (ENGLEWOOD UTILITIES)","Residential Sales Volume","22270","31641","18453","16300","15060","16421","14943","11102","15576","18842","17461","12345","14348","14996","11732","10507","9264","12810","13050","7958","12493"
"Washington","17603995WA (ENUMCLAW CITY OF)","Residential Sales Volume","262087","265378","261226","245633","252006","279508","265564","268781","270870","228421","265486","252042","262208","232231","213980","218959","262504","239193","261132","264947","279636"
"Washington","17603995WA (ENUMCLAW CITY OF)","Residential Sales Revenue","2454421","2301171","2185775","2306617","2831219","4267163","3743992","3462527","3522203","2895533","3138488","2747008","2572807","2336225","2270731","2340018","2756862","2576253","2730637","2808535","3114671"
"Kentucky","17604002KY (EQUITABLE GAS COMPANY)","Residential Sales Revenue","3725655","2586681","3538213","3631660","3803234","3679278","3025196","","2944160","1841543","1684936","1509770","","","","","","","","",""
"Kentucky","17604002KY (EQUITABLE GAS COMPANY)","Residential Sales Volume","348909","332566","327653","280876","254775","216162","215045","","206488","219582","205905","185513","","","","","","","","",""
"Arizona","17604005AZ (BLACK MOUNTAIN GAS CO)","Residential Sales Revenue","5063052","5511385","4551637","","","","","","","","","","","","","","","","","",""
"Arizona","17604005AZ (BLACK MOUNTAIN GAS CO)","Residential Sales Volume","484847","477416","390339","","","","","","","","","","","","","","","","","",""
"Tennessee","17604040TN (ETOWAH UTILITIES)","Residential Sales Revenue","1160220","865935","922128","939059","1174525","1106415","897906","989529","861103","913141","813134","549425","652508","776391","650469","504116","488938","627053","603612","504843","645518"
"Tennessee","17604040TN (ETOWAH UTILITIES)","Residential Sales Volume","100361","92077","93071","88534","86072","70106","70441","74537","71637","82914","75798","56884","75103","79516","68981","56967","54234","73091","62811","57780","66550"
"Iowa","17604067IA (WAUKEE MUNICIPAL GAS)","Residential Sales Volume","170692","223789","266765","258955","266403","281022","329148","341752","331343","335764","340261","268912","378196","414613","351891","362914","368187","503635","497003","451817","461994"
"Iowa","17604067IA (WAUKEE MUNICIPAL GAS)","Residential Sales Revenue","1950297","1898238","1857094","2419662","3180516","3663108","3764136","3468464","4030347","3820180","3776858","3118719","3818780","4639964","3680625","4028937","4426909","6302935","5857449","5806412","8360995"
"West Virginia","17604069WV (WELCH GAS CO OP)","Residential Sales Volume","98620","84725","84401","74641","80083","77710","76139","69104","71336","74977","72567","74846","87358","84780","57208","54503","51785","60878","53199","51681","54083"
"West Virginia","17604069WV (WELCH GAS CO OP)","Residential Sales Revenue","1055354","756050","680379","739903","771535","865136","940332","915773","928983","885280","861250","816879","851138","824724","566596","541275","512874","604156","530613","513563","536397"
"Missouri","17604076MO (UNITED CITIES GAS CO)","Residential Sales Volume","4044390","4128928","3922925","","","","","","","","","","","","","","","","","",""
"Missouri","17604076MO (UNITED CITIES GAS CO)","Residential Sales Revenue","42552500","29624307","36688022","","","","","","","","","","","","","","","","","",""
"Oklahoma","17604103OK (FAIRFAX TOWN OF)","Residential Sales Volume","58700","49863","50258","49957","39504","34715","44683","44807","46632","44715","44098","26423","30253","31203","28470","27725","29594","38924","31923","27710","29415"
"Oklahoma","17604103OK (FAIRFAX TOWN OF)","Residential Sales Revenue","480272","417427","469167","433627","465273","449699","477215","531808","552143","432954","398707","296244","337944","358858","309140","272709","258127","318342","285525","253145","264133"
"Illinois","17604104IL (FAIRFIELD CITY OF)","Residential Sales Revenue","1626007","1426336","1429957","1576997","2180056","1953988","1958857","2228110","1810870","1804125","1717646","1341755","1720895","1962864","1461988","1215130","1339992","1644215","1549238","1282592","1355891"
"Illinois","17604104IL (FAIRFIELD CITY OF)","Residential Sales Volume","191973","186157","185804","168777","173877","144199","150285","162546","154504","152232","153894","123358","157776","177488","150046","125633","122736","154953","142659","128058","122828"
"Alabama","17604107AL (FAIRHOPE CITY OF)","Residential Sales Revenue","4133208","3420456","3876704","4419561","5143056","4820366","4959724","5677048","4843483","5641134","5250650","3730115","4642141","5798235","4827861","4249539","4232048","5953714","5540140","",""
"Alabama","17604107AL (FAIRHOPE CITY OF)","Residential Sales Volume","268465","277226","272090","274697","253903","228215","237165","251524","229560","302513","277347","203579","241508","302352","249950","226893","222747","318069","327212","",""
"Massachusetts","17604115MA (LIBERTY UTILITIES NENGC CORP)","Residential Sales Volume","3902862","3707120","4307204","4165701","3802617","3295894","3538467","3466393","3399342","3371875","3348216","2864572","3351485","3954916","3948432","3449255","3685376","4112278","3991847","3657833","3852147"
"Massachusetts","17604115MA (LIBERTY UTILITIES NENGC CORP)","Residential Sales Revenue","46003623","37347512","49646358","52361316","54397688","50556605","53074578","54673664","55269436","46501730","48410754","39570330","45740500","59089106","58398266","37181826","44342751","58777647","53441143","52042189","59363181"
"Alabama","17604228AL (FAYETTE GAS BOARD)","Residential Sales Revenue","1023374","747427","776210","943081","1075124","1053329","962470","1007778","729389","1003441","888566","655121","937759","1074223","901428","779209","719874","917017","812405","735997","858007"
"Alabama","17604228AL (FAYETTE GAS BOARD)","Residential Sales Volume","89593","82777","82130","79941","79708","71330","64045","67597","63875","75856","70492","53578","76106","83432","71216","59478","53329","69410","63424","55955","64917"
"Tennessee","17604230TN (FAYETTEVILLE PUBLIC UTILITY GAS DEPT)","Residential Sales Volume","260136","247587","251855","246590","253243","240836","225022","246577","232826","274815","242670","193816","253685","277401","243308","197722","192269","262990","238316","215327","254151"
"Tennessee","17604230TN (FAYETTEVILLE PUBLIC UTILITY GAS DEPT)","Residential Sales Revenue","3458960","2635966","3006546","3165279","3745258","4533929","3550185","4281059","4027607","4104103","3309542","2534917","3257413","3653422","3290644","2673346","2511237","3290420","3004293","2787258","3238990"
"Kentucky","17604259KY (FERGUSON CITY OF)","Residential Sales Revenue","160282","163747","151589","147603","149596","191317","139663","169019","158966","158134","152530","116298","136700","127976","121394","138697","137847","166595","146401","137770","154587"
"Kentucky","17604259KY (FERGUSON CITY OF)","Residential Sales Volume","14821","15204","16050","16420","13399","12533","9365","12155","8826","9617","9016","7032","8147","9084","7934","7280","6623","9021","7780","6718","9779"
"New York","17604278NY (FILLMORE GAS CO)","Residential Sales Revenue","1216938","898402","1404117","1435553","1650037","1408120","1413489","1560448","1157171","1072107","1001782","811071","1017761","1319038","981581","914546","898951","1099796","1126876","939567","1094280"
"New York","17604278NY (FILLMORE GAS CO)","Residential Sales Volume","120981","128985","136865","122230","117284","103717","111182","110434","112202","105903","108062","99995","121995","129167","118901","114667","104647","122634","131667","119810","117603"
"Illinois","17604283IL (FINDLAY VILLAGE OF)","Residential Sales Revenue","325674","299748","328417","355468","423322","383418","407705","474078","358341","311223","298763","251280","274090","336792","257666","216335","214024","256318","281417","205546","274291"
"Illinois","17604283IL (FINDLAY VILLAGE OF)","Residential Sales Volume","36186","37269","37016","35339","33897","30447","35147","40428","35096","33976","31958","27202","35572","38912","32313","29545","28081","36105","35461","32511","32239"
"Tennessee","17604296TN (MT PLEASANT GAS SYS)","Residential Sales Volume","83644","82648","80165","76558","79822","68990","61638","72604","64614","70422","61490","49606","61877","70478","57575","44842","43744","58551","53595","49540","63628"
