"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Idaho"," Total of All Companies","Residential Sales Revenue","162077078","171588320","143703655","186985041","228712027","274913972","268629391","304741740","269034586","214692295","234712354","197536079","222330249","210340329","201753629","202520242","220306827","195465509","200191732","206313170","215582535"
"Illinois"," Total of All Companies","Residential Sales Volume","390280822","415178255","424125984","397762565","390153781","354913407","383951460","409170338","384597089","366379075","367769313","317352813","396772233","418715329","345893388","334958656","327766670","380656987","383491669","349029704","346296547"
"Illinois"," Total of All Companies","Residential Sales Revenue","3529983475","2661859976","3668176436","3741848234","4535322466","3966942080","4132197419","4939899013","3451198941","3439749572","3229294490","2622914205","3255391619","4014412781","2757840182","2638368129","2893058457","3100519366","3082548811","2771936431","3639756816"
"Indiana"," Total of All Companies","Residential Sales Volume","144597808","154170505","152542793","143746226","143362465","122900861","137164339","145045500","130833864","130314416","125022225","109147575","137310533","149227176","127411237","119679199","118609237","138484837","137515010","128958440","126187634"
"Indiana"," Total of All Companies","Residential Sales Revenue","1384343371","1184640719","1433645410","1434319289","1739165315","1604230860","1548971586","1835203881","1414714579","1125138279","1183063804","975846152","1157784417","1345592861","1136727445","947726693","1060513075","1207802697","1193477623","1108138016","1268101792"
"Iowa"," Total of All Companies","Residential Sales Volume","71073996","71545313","74024406","68320976","67271229","61843854","67754401","75449467","70111285","68376276","67096738","55855268","72519162","76574437","62735144","61246939","60362278","70950032","71385018","64082743","61807691"
"Iowa"," Total of All Companies","Residential Sales Revenue","632319570","506789146","676927609","692973151","827135236","768304854","796873270","898396784","688920242","654192717","640111491","528411414","651936156","767059395","533712760","497969222","561293160","634586389","584830503","498660528","630675970"
"Kansas"," Total of All Companies","Residential Sales Volume","70181615","70863513","70369457","64749713","64923460","57078115","63090750","70335861","71068118","67116539","65491475","50485933","68031915","71111398","57413735","54051752","54437324","67125254","68115068","62305947","60138022"
"Kansas"," Total of All Companies","Residential Sales Revenue","658637912","513496074","629547403","694704528","784015804","752759408","818088893","914069792","789127260","712142066","650522617","511087008","693487016","752883190","583844335","532533197","596343442","683190999","629540114","584010884","668422950"
"Kentucky"," Total of All Companies","Residential Sales Volume","54552108","55094970","58129579","53103679","53282023","45570431","49532690","52846507","49432028","52033251","48417342","41293021","52147841","55442339","47613891","44092735","41986484","50064444","47554861","44873825","45798700"
"Kentucky"," Total of All Companies","Residential Sales Revenue","520320404","414119975","533272578","582569269","697421092","644366773","596774952","731163373","591530991","521352970","505715990","420680054","511111072","588872528","517676158","447057299","488013040","528826002","516075178","500021205","559477957"
"Louisiana"," Total of All Companies","Residential Sales Volume","49003091","49146619","47329691","42736153","41155080","33434964","37150047","37224577","36512415","45516207","39412455","31834077","38820138","44518009","36858337","31383203","29074199","37837540","35934555","32097346","36291747"
"Louisiana"," Total of All Companies","Residential Sales Revenue","512850263","396320478","487187405","478797666","545550700","490306649","527684407","576684965","480194242","533908138","447986181","367349264","419201171","484772670","397033723","356072104","379116215","440702777","413011514","390304621","465770059"
"Maine"," Total of All Companies","Residential Sales Volume","953530","1055522","1210946","1188813","1149301","985123","1170148","1100823","1285689","1232594","1408852","1486750","1888559","2357448","2699512","2566196","2747750","3079296","3134098","2962466","2936703"
"Maine"," Total of All Companies","Residential Sales Revenue","11736427","12429306","15461686","16640921","18589641","17633361","19771810","19235309","21125117","17430811","20002435","23702709","28718271","39833153","45320380","35464816","40136996","50242310","50292147","44068071","48584424"
"Maryland"," Total of All Companies","Residential Sales Revenue","659648799","607226254","802898505","865235908","1044771179","947097514","1038879057","1078742945","896024475","835662285","746656113","659201538","722420141","804391432","724320132","650040702","736438891","771363048","783270848","783477311","886177796"
"Maryland"," Total of All Companies","Residential Sales Volume","56558037","61954191","69946290","67940432","69491081","58697655","69490115","67502949","68436821","68520375","61719806","54156538","61884016","65899465","60200429","56363488","56794305","65400645","62398909","59922867","60302954"
"Massachusetts"," Total of All Companies","Residential Sales Volume","106476953","109260613","125865517","112755235","118463562","103821390","115100499","112887517","113699670","107277408","115437728","101254581","116342092","126229384","125945142","110844619","119084961","127207401","131995082","117879378","120838334"
"Massachusetts"," Total of All Companies","Residential Sales Revenue","1362406370","1097702710","1575530164","1624493810","1827489683","1833459250","1955595055","1939482732","1688229541","1558834779","1593704157","1338194051","1569912068","1830009798","1639386942","1380805229","1585712691","1968121923","1943214065","1734152825","1935435526"
"Michigan"," Total of All Companies","Residential Sales Volume","334753774","351851594","363262711","344625546","342514917","297353205","310389351","321088170","306381241","279790979","292967152","253615682","306263473","327010423","289728439","273210615","279511253","306152570","312755492","287727924","281106938"
